CVEGEO,local_I,p_sim,quadrant,cluster
13029,0.3089866866886595,0.092,HH,ns
13030,-0.001508580994416795,0.496,LH,ns
13031,0.5349914827961234,0.026,LL,LL
13032,0.5848276268935854,0.153,HH,ns
13033,1.3980075157892655,0.031,LL,LL
13034,0.5325302463049302,0.174,LL,ns
13035,-0.2775605050135962,0.129,HL,ns
13036,0.020185117044016338,0.395,LL,ns
13037,0.047542015491591795,0.243,LL,ns
13038,-0.09254272430870386,0.222,LH,ns
13039,0.08611624669213096,0.274,HH,ns
13040,0.9485560165879122,0.03,LL,LL
13041,0.5864538265179605,0.01,HH,HH
13042,0.4230510587597327,0.006,LL,LL
13043,0.4893510797416041,0.059,LL,ns
13044,0.30318436142994876,0.046,HH,HH
13045,-0.0007258231587576235,0.479,LH,ns
13046,0.08795302421907363,0.35,HH,ns
13047,0.5062162720004757,0.069,LL,ns
13048,0.14013086161162905,0.07,HH,ns
13049,0.160425635385713,0.065,LL,ns
13050,0.3183543719945629,0.185,HH,ns
13051,0.3720367713534247,0.188,HH,ns
13052,0.41914628800574977,0.044,HH,HH
13053,0.3804154245526891,0.096,LL,ns
13054,0.18794253392412466,0.022,HH,HH
13055,-0.05092281023014098,0.408,HL,ns
13056,0.3053938171235664,0.16,HH,ns
13057,0.15481525781994826,0.156,HH,ns
13058,0.0011976819056421122,0.419,HH,ns
13059,0.02066347079253874,0.499,HH,ns
13060,0.38455871751031373,0.125,LL,ns
13061,0.45697435450486,0.06,HH,ns
13062,0.8127720436060174,0.028,LL,LL
13063,0.6456951761608366,0.007,HH,HH
13064,0.45367157938387165,0.062,HH,ns
13065,0.9368637216539544,0.002,HH,HH
13066,0.9163919945513787,0.022,HH,HH
13067,0.5252231556438,0.02,HH,HH
13068,0.1342825593187764,0.269,LL,ns
13069,0.24982171299053108,0.048,HH,HH
13070,0.40400229176615626,0.019,HH,HH
13071,1.6500913334671896,0.034,LL,LL
13072,0.43764093232029505,0.05,HH,ns
13073,0.013334766612468392,0.32,LL,ns
13074,1.0362715443182322,0.012,HH,HH
13075,0.6776051420274251,0.012,HH,HH
13076,0.812870584059739,0.001,HH,HH
13077,0.07720317677624289,0.135,HH,ns
13078,0.03808494555141097,0.195,LL,ns
13079,0.29013823788409954,0.131,LL,ns
13080,-0.15860024044509474,0.171,HL,ns
13081,-0.13139848322509112,0.072,HL,ns
13082,0.6369266865602292,0.03,HH,HH
13083,0.3909868834943152,0.009,HH,HH
13084,0.08508680307968133,0.176,LL,ns
14001,0.03542759001244406,0.376,LL,ns
14002,0.4594330271373164,0.098,HH,ns
14003,0.3167997065309531,0.061,HH,ns
14004,0.005746875460060432,0.294,HH,ns
14005,0.19723891438591232,0.299,HH,ns
14006,-0.013953730661788783,0.422,HL,ns
14007,0.29946587564847854,0.088,HH,ns
14008,0.14914571018834524,0.024,HH,HH
14009,0.07910277830279502,0.208,HH,ns
14010,0.0014548537735049872,0.428,LL,ns
14011,0.24131166813351776,0.143,LL,ns
14012,0.06437422150013025,0.317,LL,ns
14013,0.3989523701244939,0.039,HH,HH
14014,0.2369699096731806,0.161,HH,ns
14015,0.11920405269604151,0.079,LL,ns
14016,0.370540088653001,0.029,HH,HH
14017,0.15774076487404318,0.107,LL,ns
14018,1.122798731711022,0.003,HH,HH
14019,0.41092657499535135,0.036,LL,LL
14020,0.05710396946468671,0.311,LL,ns
14021,-0.1360503405145543,0.107,HL,ns
14022,-0.19899127637486802,0.078,HL,ns
14023,0.028264015384495356,0.312,HH,ns
14024,-0.0005154256622246251,0.46,HL,ns
14025,-0.020666403730211363,0.366,HL,ns
14026,0.07860677466809218,0.261,HH,ns
14027,0.3047084680359053,0.098,LL,ns
14028,0.10354759295562521,0.196,LL,ns
14029,-0.03340631703781068,0.274,HL,ns
14030,0.22984522216293912,0.177,HH,ns
14031,1.1065749082822123,0.093,LL,ns
14032,0.2778053617654979,0.114,LL,ns
14033,0.021838618067696998,0.029,HH,HH
14034,0.5241502629203251,0.074,LL,ns
14035,0.04644453930367446,0.474,HH,ns
14036,0.21856030430167014,0.213,HH,ns
14037,0.6580850820067408,0.063,LL,ns
14038,-0.0025922656566264484,0.465,LH,ns
14039,0.7164749243045845,0.146,LL,ns
14040,0.039722079691017105,0.284,HH,ns
14041,-0.0014104212312261682,0.477,HL,ns
14042,0.5270648204066609,0.054,LL,ns
14043,0.21851061849358425,0.265,LL,ns
14044,0.13900391613137045,0.265,HH,ns
14045,0.05944541972358918,0.032,LL,LL
14046,0.05102714817237635,0.315,HH,ns
14047,1.0335135191069582,0.016,HH,HH
14048,0.24248689409967225,0.103,HH,ns
14049,0.1989518164949376,0.175,LL,ns
14050,0.19707724949862435,0.077,HH,ns
14051,-0.03573924286831158,0.43,LH,ns
14052,0.4051978161702307,0.098,LL,ns
14053,-0.1723443163223041,0.106,HL,ns
14054,0.3797196499722184,0.054,LL,ns
14055,0.20011206388232156,0.156,HH,ns
14056,0.04594636827910995,0.393,LL,ns
14057,0.09681955945648157,0.256,HH,ns
14058,-0.06596618548785,0.182,HL,ns
14059,-0.017233354437090356,0.176,LH,ns
14060,0.027173059589043678,0.41,HH,ns
14061,0.5627283959690375,0.115,LL,ns
14062,0.12092983352431498,0.201,LL,ns
14063,1.0536642348975982,0.009,HH,HH
14064,0.05396624150571887,0.293,HH,ns
14065,0.17869234043775456,0.123,LL,ns
14066,0.5579755820442345,0.091,HH,ns
14067,-0.01110251174168124,0.498,LH,ns
14068,0.15781146044442576,0.168,LL,ns
14069,-0.019221706663982863,0.483,LH,ns
14070,-0.049536372432708836,0.288,HL,ns
14071,0.8302797113069095,0.126,LL,ns
14072,0.4202978480929886,0.028,HH,HH
14073,0.1707135475806075,0.042,HH,HH
14074,0.41581229849078066,0.092,HH,ns
14075,-0.09658396814616883,0.149,LH,ns
14076,0.3802561856254113,0.059,LL,ns
14077,-0.008487699804929555,0.277,LH,ns
14078,0.10655158325273403,0.146,HH,ns
