CVEGEO,economic_output
20280,8.638
20281,0.342
20282,0.0
20283,2.161
20284,28.202
20285,20.01
20286,9.689
20287,4.233
20289,2.601
20290,1.128
20291,3.512
20293,431.314
20294,17.19
20295,87.312
20296,0.0
20297,1.287
20298,215.179
20299,12.071
20300,54.229
20301,9.179
20302,23.326
20303,19.311
20304,0.0
20305,35.97
20306,0.0
20307,12.442
20308,14.045
20309,21.923
20310,21.694
20311,1.631
20312,25.791
20313,11.304
20314,4.301
20315,4.375
20316,2.404
20317,0.0
20318,536.87
20319,1.397
20320,0.0
20321,0.0
20322,2.371
20323,0.0
20324,338.042
20325,28.567
20326,2.435
20327,46.437
20328,48.618
20329,3.457
20330,8.044
20331,13.905
20332,0.0
20333,4.16
20334,276.594
20335,0.0
20336,0.921
20337,22.019
20338,62.719
20339,15.584
20340,1.695
20342,7.679
20343,4.246
20344,2.853
20345,7.878
20346,7.88
20347,13.589
20348,20.939
20349,9.132
20350,102.175
20351,2.233
20352,3.475
20353,4.609
20354,0.0
20355,2.795
20356,28.234
20357,1.111
20358,2.261
20359,0.0
20360,10.379
20361,0.0
20362,10.797
20363,30.704
20364,81.209
20365,2.077
20366,10.391
20367,32.75
20368,28.594
20369,14.826
20370,0.0
20371,1.623
20372,0.0
20373,0.858
20374,1.384
20375,49.199
20376,0.0
20377,8.996
20378,7.362
20379,1.594
20380,17.422
20381,15.863
20382,1.115
20383,0.0
20384,13.718
20385,631.258
20386,0.0
20387,9.297
20388,0.0
20389,3.574
20390,394.911
20391,2.235
20392,0.0
20393,6.804
20394,1.962
20395,0.707
20396,5.741
20397,209.863
20398,24.988
20399,138.449
20400,6.712
20401,115.75
20402,9.413
20403,101.574
20404,4.082
20405,114.185
20406,12.378
20407,5.487
20409,524.03
20410,4.676
20411,3.951
20412,55.865
20413,310.687
20414,41.744
20415,8.423
20416,9.459
20417,10.281
20418,42.424
20419,2.757
20420,0.0
20421,16.444
20422,0.373
20424,0.0
20425,0.555
20426,0.0
20427,20.625
20428,0.554
20429,3.705
20430,0.087
20431,3.864
20432,2.876
20433,2.833
20434,0.0
20435,5.739
20436,7.205
20437,26.329
20438,6.812
