CVEGEO,water_availability
16059,0.613843
16058,80.042898
16057,27.550217
16056,35.462472
16079,27.550217
16078,0.0
16018,0.0
16019,2.606066
16020,0.0
16021,0.0
16022,2.061531
16067,0.0
16072,2.061531
16086,0.0
16087,74.011561
16047,2.061531
16046,2.061531
16012,80.042898
16065,35.462472
16066,27.550217
16068,80.042898
16069,13.496152
16070,26.820476
16083,80.042898
16002,0.0
16094,0.0
16095,2.606066
16100,0.0
16105,0.0
16101,27.550217
16111,74.011561
16034,2.061531
16017,0.0
16016,0.0
16015,0.0
16014,0.0
16053,27.550217
16052,8.870558
16051,4.902971
16050,0.0
16049,27.550217
16042,0.0
16041,0.0
16038,24.1831
16037,26.820476
16036,0.0
16035,1.857187
16023,0.0
16025,0.0
16040,2.061531
16039,0.0
16026,0.0
16027,26.820476
16028,0.0
16029,1.857187
16030,0.0
16054,26.820476
16033,0.613843
16076,0.0
16075,2.606066
16080,0.0
16081,4.586288
16082,27.550217
16099,4.586288
16003,0.0
16090,74.011561
16091,0.0
16048,0.0
16001,27.550217
16024,35.462472
16009,0.613843
16008,0.0
16007,0.0
16006,1.857187
16005,0.0
16004,0.0
16011,0.0
16010,8.870558
16110,0.0
16109,13.496152
16108,0.0
16107,35.462472
16106,0.0
16013,27.550217
16044,26.820476
16043,0.0
16077,24.1831
16032,0.0
16031,1.004238
16098,2.061531
16097,5.878429
16096,1.857187
16113,0.0
16112,2.061531
17008,9.055854
17003,34.070832
17036,0.527376
17029,0.0
17018,9.055854
17014,9.055854
17019,34.070832
17006,0.0
17001,26.427143
17025,5.409428
17002,0.0
17026,0.0
17023,0.0
17004,0.527376
17010,0.527376
17017,5.409428
17015,9.055854
17022,0.527376
17009,0.0
17011,0.0
17012,9.055854
17024,9.055854
17030,0.0
17013,0.527376
17034,9.055854
17020,0.0
17031,9.055854
17021,9.055854
17027,0.0
17016,0.527376
17032,0.527376
17033,0.527376
17035,9.055854
17007,0.0
17005,26.427143
17028,9.055854
18009,0.892374
18003,1.424735
18015,0.0
18014,0.0
18007,0.0
18005,0.0
18017,48.085217
18013,1.424735
18012,8.057612
18011,13.21242
18010,0.0
18002,1.424735
18001,6.645055
18018,0.0
18019,0.0
18004,1.424735
18006,0.0
18020,1.424735
18008,0.0
18016,6.645055
19035,93.847952
19036,0.0
19002,0.0
19013,12.810618
19014,0.0
19032,0.0
19001,0.0
19031,0.0
19015,5.767295
19043,0.0
19048,0.0
19047,0.0
19040,0.0
19037,0.0
19027,5.767295
19020,12.810618
19005,0.0
19019,0.0
19041,0.0
19008,0.0
19026,0.0
19051,0.0
19007,2.950438
19050,0.0
19049,0.0
19034,0.0
19045,0.0
19038,0.0
19033,0.0
19010,0.0
19023,4.82752
19009,0.0
19029,0.0
19030,0.0
19006,0.0
19028,0.0
19025,0.0
19046,0.0
19021,0.0
19003,5.767295
19042,0.0
19018,0.0
19017,0.0
19016,1.255152
19011,0.0
19044,0.0
19004,0.0
19022,12.810618
19024,1.903012
19039,0.0
19012,0.0
20155,0.0
20481,0.0
20378,0.0
20334,11.016983
20437,30.778398
20441,19.097052
20446,0.0
20447,0.0
20469,0.0
20440,19.097052
20513,19.097052
20278,30.778398
20457,30.778398
20482,20.634036
20329,0.0
20330,30.778398
20170,19.097052
20230,2.254951
20184,30.778398
20214,23.352309
20220,23.352309
20262,3.030253
20266,1.700436
20265,3.437684
20318,7.602375
20327,227.611227
20556,2.462729
20005,19.097052
20517,19.097052
20565,3.030253
20503,30.778398
20500,0.0
20059,15.914757
20177,23.352309
20364,11.016983
20057,179.154991
20544,3.030253
20410,8.463489
20435,19.097052
20417,30.778398
20439,7.602375
20251,9.344285
20467,5.674356
20559,30.778398
20169,30.778398
20118,19.097052
20568,2.254951
20460,30.778398
20044,30.778398
20507,20.634036
20515,8.463489
20516,0.0
20051,19.097052
20041,23.352309
20042,23.352309
20071,7.602375
20223,30.778398
20190,179.154991
20097,30.778398
20098,30.778398
20101,0.0
20104,0.0
20413,1.700436
20120,30.778398
20121,0.508321
20015,15.914757
20125,1.700436
20124,19.097052
20020,0.0
20153,7.602375
20141,227.611227
20147,0.508321
20150,3.030253
20164,2.254951
20204,19.097052
20035,23.352309
20202,7.602375
20566,0.0
20217,0.0
20016,111.556852
20229,0.0
20232,30.778398
20235,15.914757
20236,1.700436
20525,3.437684
20526,11.016983
20052,8.463489
20290,2.254951
20043,19.097052
20079,1.401873
20207,179.154991
20356,3.030253
20340,1.73708
20218,0.0
20386,0.0
20179,23.352309
